Neighborhood,Year_Built,Year_Remod_Add,Overall_Qual,Overall_Cond,Gr_Liv_Area,Total_Bsmt_SF,Garage_Cars,Full_Bath,Bedroom_AbvGr,Fireplaces,Lot_Area,House_Age,Years_Since_Remod,Bldg_Type,Sale_Type,Sale_Price
Somerst,1920,1925,2,1,3891,3445,2,2,2,1,8181,90,85,1Fam,WD,430598
IDOTRR,1971,1999,9,1,617,312,2,1,2,1,12867,39,11,1Fam,WD,199958
NWAmes,1915,1939,10,6,4497,2992,2,1,3,1,20546,95,71,Twnhs,WD,489997
Crawfor,1958,1974,8,6,3506,1377,2,2,4,1,12326,52,36,1Fam,WD,437317
StoneBr,1930,1975,8,1,3429,1355,2,2,4,1,6192,80,35,2fmCon,WD,572426
StoneBr,1941,1964,9,3,3539,2233,4,3,3,1,17355,69,46,1Fam,WD,687990
NridgHt,1973,1983,7,7,2962,1130,3,2,3,0,2835,37,27,1Fam,WD,601733
NAmes,1931,1956,9,3,1098,435,2,3,3,0,22934,79,54,TwnhsE,WD,255601
Crawfor,1958,2008,10,3,2587,960,2,2,2,1,18645,52,2,1Fam,WD,419830
NWAmes,1933,1960,2,3,1684,1020,2,3,2,0,12392,77,50,1Fam,WD,211786
NridgHt,1908,1910,6,7,3250,2096,2,1,4,1,20015,102,100,1Fam,WD,570991
IDOTRR,1980,1990,3,4,3084,1218,1,3,3,1,22698,30,20,1Fam,New,266546
NAmes,1910,1947,6,4,2967,1925,3,2,4,1,11645,100,63,1Fam,WD,314245
Timber,1995,2007,3,3,1163,370,2,3,3,0,16703,15,3,1Fam,WD,315185
StoneBr,1909,1986,8,9,2642,1704,3,1,2,0,1801,101,24,1Fam,New,579665
StoneBr,1985,2003,4,2,4013,2064,3,2,3,1,9240,25,7,1Fam,WD,626733
Veenker,1916,2005,10,4,2081,1447,0,2,3,0,16403,94,5,1Fam,WD,429015
CollgCr,1967,1987,6,8,3520,2739,4,3,3,1,21578,43,23,1Fam,WD,492193
ClearCr,1947,2000,9,6,1149,920,2,2,3,1,15927,63,10,1Fam,WD,338638
Veenker,1951,2006,2,7,1989,621,2,2,5,2,4201,59,4,1Fam,WD,322475
Crawfor,2010,2010,2,7,787,572,2,2,4,1,11167,0,0,1Fam,Oth,233199
NoRidge,1924,1982,7,2,4436,1467,2,2,4,0,24098,86,28,2fmCon,WD,682948
Veenker,1920,1991,2,4,2199,1574,2,1,1,1,7144,90,19,1Fam,COD,313052
Somerst,2000,2002,2,6,911,467,2,1,2,0,7020,10,8,1Fam,WD,269844
ClearCr,2001,2004,4,3,2947,1600,1,1,2,0,2168,9,6,1Fam,WD,389040
Mitchel,1964,1995,9,9,3075,1151,2,2,3,1,3628,46,15,1Fam,WD,367470
StoneBr,1962,1983,8,4,1541,713,2,3,3,1,16959,48,27,1Fam,WD,462615
CollgCr,1988,1994,2,2,635,474,0,3,3,1,8238,22,16,1Fam,WD,173742
Crawfor,1950,1958,8,6,2525,2140,2,1,3,0,18101,60,52,1Fam,WD,386209
NridgHt,1935,1935,4,1,4035,2589,2,1,4,1,10440,75,75,1Fam,WD,634381
Crawfor,1980,2008,2,6,1258,975,2,1,4,0,5720,30,2,Twnhs,WD,266476
StoneBr,2004,2010,10,1,1771,1036,1,1,2,1,20505,6,0,1Fam,WD,540329
NridgHt,1987,1994,7,8,3390,1372,3,1,4,1,6639,23,16,1Fam,WD,667144
BrkSide,1965,1968,6,5,3257,1296,2,2,3,0,2221,45,42,TwnhsE,WD,285389
IDOTRR,2003,2005,10,6,1524,89,1,2,3,0,10643,7,5,1Fam,COD,231362
Mitchel,1914,1916,5,2,4273,2084,2,2,4,0,3381,96,94,1Fam,WD,366113
Veenker,1995,2000,1,2,880,556,2,2,2,1,19316,15,10,1Fam,WD,254944
NoRidge,1938,1944,2,9,3056,1007,1,2,4,1,23065,72,66,1Fam,WD,475188
Gilbert,1969,1995,8,3,4031,1546,2,2,3,1,20204,41,15,Duplex,WD,466342
ClearCr,1900,1900,1,6,2028,766,3,2,4,1,8450,110,110,1Fam,WD,242159
NoRidge,2010,2010,3,5,1305,995,2,2,5,1,11468,0,0,TwnhsE,WD,420640
CollgCr,1922,2001,2,4,975,372,2,1,3,1,16598,88,9,1Fam,Oth,195693
NridgHt,1938,2008,5,2,4128,2356,3,2,2,1,10390,72,2,Duplex,New,723393
